condition,replicate,generation,shannon_diversity,richness,dominant_fraction,top3_fraction,vacancies
KtW_ON,0,0,2.4782112394395437,12,0.03775510204081633,0.09979591836734694,3214
KtW_ON,0,1,2.4742316351901175,12,0.045714285714285714,0.11795918367346939,2988
KtW_ON,0,2,2.472589879807124,12,0.05020408163265306,0.13244897959183674,2756
KtW_ON,0,3,2.4678415246217154,12,0.05714285714285714,0.1493877551020408,2519
KtW_ON,0,4,2.4647335588188373,12,0.06428571428571428,0.16591836734693877,2281
KtW_ON,0,5,2.461177861081791,12,0.06836734693877551,0.1820408163265306,2065
KtW_ON,0,6,2.4599285229369157,12,0.07224489795918368,0.19510204081632654,1874
KtW_ON,0,7,2.4574032073644254,12,0.07755102040816327,0.2063265306122449,1693
KtW_ON,0,8,2.456007823180661,12,0.08142857142857143,0.21816326530612246,1508
KtW_ON,0,9,2.4545203441485945,12,0.08489795918367347,0.2273469387755102,1379
KtW_ON,0,10,2.4544980678129553,12,0.08551020408163265,0.23020408163265307,1262
KtW_ON,0,11,2.455871496252485,12,0.08469387755102041,0.23244897959183675,1198
KtW_ON,0,12,2.4566015429528663,12,0.0836734693877551,0.23653061224489796,1148
KtW_ON,0,13,2.4586572478100837,12,0.08020408163265307,0.23816326530612245,1091
KtW_ON,0,14,2.460237528795009,12,0.08183673469387755,0.23714285714285716,1051
KtW_ON,0,15,2.461725123729255,12,0.0810204081632653,0.2389795918367347,1058
KtW_ON,0,16,2.461269180569613,12,0.08408163265306122,0.24714285714285714,1023
KtW_ON,0,17,2.4608863139940262,12,0.08714285714285715,0.2512244897959184,1045
KtW_ON,0,18,2.4596088502920743,12,0.08816326530612245,0.2542857142857143,1040
KtW_ON,0,19,2.4584850795324273,12,0.08816326530612245,0.25673469387755105,1056
KtW_ON,0,20,2.456273766936612,12,0.08836734693877552,0.26,1072
KtW_ON,0,21,2.453168006003042,12,0.08938775510204082,0.2630612244897959,1064
KtW_ON,0,22,2.452546821046494,12,0.08877551020408163,0.2620408163265306,1064
KtW_ON,0,23,2.451157240943669,12,0.09122448979591836,0.26816326530612244,1010
KtW_ON,0,24,2.4470078525509065,12,0.09163265306122449,0.2677551020408163,1043
KtW_ON,0,25,2.443659554801997,12,0.09387755102040816,0.27122448979591834,1030
KtW_ON,0,26,2.440316177589049,12,0.09510204081632653,0.27346938775510204,1035
KtW_ON,0,27,2.4390647405917676,12,0.0963265306122449,0.2783673469387755,995
KtW_ON,0,28,2.4333070761341964,12,0.09775510204081633,0.2836734693877551,985
KtW_ON,0,29,2.430204068086389,12,0.09714285714285714,0.2838775510204082,1000
